"","Subcategory","RQ","axialCode","initialCode","codeName","definition","N","Examples"
"71","","N","F-OA","F-OA","Facilitator - Open Access","Facilitator for open access (e.g., journal publishing manuscript as OA for free)",20,"That was like, if you submit within this window, we'll publish it for free, and then I missed the window. So, I had to send them the email. But that's really the only reason that it is published where it's published right now.  // a couple of times where I'm faculty now and then where I did my postdoc. They, the libraries of those institutions, promoted a deal that they had with a specific publisher, where they were for a certain period of time gonna offer free open access. And I certainly took advantage of that. And specifically, you know, went and picked a journal that was within that publishing suite. So that was great because it was free. But it was that was offered through the institution, and I have no idea like what on the back end was happening, but the library promoted it, and both cases, and I took advantage of it. // I was just gonna say, my dean at my current institution did advertise that she was also willing in some cases to pay open access fees so to contact her if you had a journal where that would be appropriate, and she would consider it depending on I assuming impact factor, and so on. But that was something I I don't know if that's common, but I was surprised to hear it. // And so there's money that researchers can apply for to support open acc...to cover the open access fees for publishing in an open access journal. They also have some. The University has some relationships, I guess, with Elsevier, or other things where we can also publish in certain journals. We can publish in a non- open access journal, but cover the open access fees through that.  // So I work at a university, and our library, our librarians are very active in increasing...sorry my cat...open access, so they do a lot of training. We have an open access publication fund that was supported by the librarians. And so there's money that researchers can apply for to support open acc...to cover the open access fees for publishing in an open access journal. They also have some. The University has some relationships, I guess, with Elsevier, or other things where we can also publish in certain journals. We can publish in a non- open access journal, but cover the open access fees through that.  // And we also have a Scholar Works which is the institutional repository. So when...and I don't know that that's really caught on super widely in the university. But they are trying to do a lot to get the word out that when when researchers, you know whether they be faculty, staff, lecturors at the university publish, they can put them in that repository, and then they're available to people within institution, which, as in, as I understand, is a little more. You know, you can do that before you before the embargo date, since it's not technically public. // I would say. A facilitator has been when I have grant funds, and I can pay for it. // Also, if you know, the Dean of the college is willing to put his or her money where his or her mouth is, or their money, in terms of having a pot of money for faculty to pull from. I think X had previously mentioned that at her institution their library has some money to pay for open access. // So having a pot of money either at the library or within the Dean's office, would be really helpful.<P> // I know it's quite expensive, and I know that without funding from the institution under which the research was conducted and the PI's willingness to devote funding to that, we likely wouldn't have been able to take advantage of that option // And I hope that some of the resources will, I mean, many universities are working to supporting open access fees because they are basically stating on the on the...what’s it called? Library costs. // Same thing money. // I think definitely money. But you know department chairs or deans really valuing, having this open access to your work, and so having that support that can kind of come from the top. So even if you don't have the grant funds to pay for it, maybe somebody in administration really sees the value for your career and for the institution. I know that I think I think I had...I think we paid for open access for one of my articles, and it came from our department's budget, because my chair was just very supportive and just wanted, really valued me being able to have this as part of my publishing record. // Our university recently, they included Wiley and Springer, I think these two publisher...They said if you we choose to publish journals in these two publishers, the open access fee can be covered. If I understand that email correctly, it was from just a couple of months ago. X, if you have missed that email, we can read that email together. // University support. // Then it seems enticing, because they usually get published faster. And we all need publication. So again, just not really. // I think it would be really interesting to to being researchers to have data on how much of a difference it actually makes. I would be really interested to know that // Yeah. My current university is a subscriber to some of the gold open access options for certain journals, and so publishing through those is easier because the university picks up the tab. And so that is obviously a huge facilitator, because it doesn't come out of my own account. // Yeah, I would agree with that. My university also has an agreement with a couple publishers for gold open access, but none of them are big speech and hearing journals. So it's it. It's a potential facilitator, but it hasn't actually come to fruition yet. // I'll just bring in from our last question data that shows it's worth it would be a facilitator."
"72","","N","F-OD","F-OD","Facilitator - Open Data","Facilitator for open data",14,"This is. I wonder if this is another place where library assistance could help? Like if university libraries had open data, repositories and we didn't have to like, find one. I don't. I don't know if that would be useful. // Well, I think the NIH is changing to require data sharing, so I think that'll be a good facilitator. Anyone who has funding will be forced to. // So like if there was a way to further de-identify the voices that were...so that it would be less identifiable. Maybe that would be something that would facilitate open data sharing. // I know a lot of grant applications these days do require you to have some kind of data management policy, particularly with the focus on open data and data sharing. So I think just a better maybe understanding of what the...you know, what's required in terms of the the funders and grantors. And what what kind of data they want us to share, and where they'd like us to share it. // More knowledge. an existing infrastructure //  Like what is best practice? I think there is another comment in the chat about that. Like how to best do it. I know some NIH institutes have repositories and have it very clearly spelled out, while other institutes leave you to your own devices to do it. So how do we go about doing it? Because it is required by many grants now. // I think the you know direction NIH is going is really going to be a benefit as as money growing pains as it gave me at the beginning of this year. You know I do think it's going to encourage our institutions to kind of step up to the plate a little bit in, you know, helping to facilitate open data. // .I guess all of the data sharing I've done so far has been on osf.io. That website. I know that there are other websites that can be used, and I'm kind of not sure what...There are many options, and so I think I just kind of chose this one because it was free and easy to use. // you need to have supportive individuals, and there's an and and I think people in my department are very supportive of it. It's just no one's really done it. So I think there's that aspect just getting that support which I know has been said. But yeah, so for me, that's where I'm at, and probably getting some support and kind of like leading me through, it would be helpful. // I think it's like a culture issue. So, if it were the culture of the department in which you're working where this is just something that is standard practice. Then it might, I might be more likely to devote the time and energy to do it rather than trying to, you know. Find it within, you know, as a as working in a silo in just my research lab with my students and my research assistants. // I think one thing that could be a facilitator, or at least forcing people to do. Is like, I said, the NIH grants have requirements, updated requirements now for, like a very detailed plan about how you are gonna share your data. So, thinking through that ahead of time, like forcing you to think you through that ahead of time and come up with plan that you document and put in with grant applications, I would think, would likely be a facilitator. I think that the other thing, though, is it's not really people in our positions, in tenure track jobs, we don't get credit anywhere in like the tenure process for using open science practices, well versus not using them. And it is extra time and effort to do. So, I think you know one other thing is like if this was valued by institutions more, if this was something where you got, I don't know it's recognized in some way, or it was prioritized by institutions, that that would also, I think, motivate people to do this more. // The main imaging group that I work with at [university] is really big, and I think they have the power to...I wouldn't say like overcome the IRB, but I think they have the power to request more lenient rules from them, then the rest of us do. And so then we're all able to kind of slide it under that, using their platform which is nice, especially for MRIs. De-identified MRIs. // I think it would be really helpful to have some examples of IRB language that's worked for other people. I know. I mean, obviously, they're all different. But you know, just some ideas of things that can get you started. // ...numbers like a my eye tracking study where we have on OSF, it's just numbers. There's nothing identifiable. There was no question that we could put that up there. But with MRI or production, or EEG, or like anything that could, I mean, EEG not. But yeah."
"73","","N","F-OER","F-OER","Facilitator - Open Educational Resources","Facilitator for engaging in sharing open educational resources",3,"I really wish and hope somebody will go off and get the resources to like build a website where maybe we can sort all of of our instructional, like assignments and syllabi and slides, and all of those things to make the the teaching part more open // So my university library has talked about open education resources, // I was just gonna say, of all the things on your question there, I have the most experience with the open educational resources, just because at my last institution there was funding from the university if you made OER. And then there was also, like a fairly big repository, I guess, through our library of open educational resources."
"74","","N","F-OS","F-OS","Facilitator - Open Science","A facilitator for engaging in open science (specific practice not specified)",8,"And even like a website. That would kind of be a resource for for a lot of these things. I don't know how possible that is, and who would fund it, etc., but something like that would be really good for you, because it could be constantly updated. It'd be one place to go to reach a lot of resources, you know. // I just suggested that if there's any way to get a list of mentors, let's say, maybe in a different category of institutions. // So having, maybe somebody who is in our particular institutional category to help step us through maybe some unique procedures and processes that are preventing us from being more involved. // I'm, thinking in terms of resources for those of us whose institutions are less familiar with open science, it may be helpful just to have a a list or some sort of reference, to be able to give to our institutions, or give to our library, saying why this is important. You know, what are the benefits, and what are the barriers, so that you know, it's not just each of us fighting the fight individually. // I think maybe finding people at my university, too, that like finding the people that want to do open science or are doing it successfully, may be helpful, because every university is so different, just even website accessibility. Thankfully, I can do it. But I think just having people with you at your university could be helpful. So like finding that cohort. It's not always explicit or clear who does this so. Or who is working towards it. So. // I think, having people who are more senior in CSD support junior people's effort to practice open science would be helpful. // also just having someone to look at as an example. You know, to say, this is what they did. I think would be really helpful. // Yeah, I will say, though, my, my college just changed our tenure guidelines, and we do have a a new part in there that talks about, you know. Please mention if you were practicing open science because we think you know, as a college, we would like to move towards open science practices. So maybe some systemic level change there from the powers that be, who, you know, dictate the tenure process would be helpful in supporting people who want to spend their time doing that to demonstrate that it's worth it."
"75","1.9 - Resources","1,2","F-R","F-P","Facillitator - Procedure","Participant says that having a procedure, template, example language or step-by-step guide is what helps them engage in an OS practice",2,"I think it's the existing template that is very handy for people who are new to preregistration and look for the kind of information necessary for a preregistered report.  // I think it would be really helpful to have some examples of IRB language that's worked for other people. I know. I mean, obviously, they're all different. But you know, just some ideas of things that can get you started."
"76","","N","F-PR","F-PR","Facilitator - Preregistration","Facilitator for preregistration (e.g., having data collected already so they feel confident about their stats plan)",17,"I'm working with a collaborator who is her job, she's like the Open Science librarian at the X, and so she's kind of walking me through all of it.  // I yeah, I feel really lucky that I have this person. That's the only reason I'm doing it. And she's been like walking me through it.  // And so like, even like I feel like if I already have my data, I feel much more confident about my stats plan. Then, like if I'm hoping to collect some amount of data. So like, really, where I am in the process, like if I pre-register something, hoping that I'll be able to get, you know, 120 kids, but I only get 60 like that. Like I'm not going to be able to do the same statistical analyses all the time, so like. I think it just depends on where I am in the process of data collection, and like preregistering before I even collect any data. I'm not sure I I want to maintain that that same approach after I get the data // Something that would help facilitate for me is is what you're allowed to say in terms of exploratory or like, you know this is like, is it a flow...Can I put a flow chart like if I have this many kids? This is what I'll do. But if I have this many, you know what I mean, and and there are things you can do like you are allowed to say those things. Like this is what I would do in this event. But if this doesn't happen, but I but if you haven't so again like what would facilitate it would be like training. I just need to learn what's allowed. I need to learn what you can say, you know, and I just again. I don't think many of us have had that training. // Ok, I was just gonna say I think I often do is I keep doing studies that are quite different from ones I've done previously, which is, I suppose, good on some levels, but on an another, I think if I was doing a study that was very similar with similar methods. Similar population. You know, and I knew kind of I could kind of predict like, yes, I'll easily be able to get these participants, and so on. I think I'd be more likely if it was just really similar to something I'd done previously. I'd be more likely to be comfortable pre-registering something just kind of having walked through the analysis, having some knowledge of what you know that I've gotten through those barriers that would be concerning. And I I wonder if it's something I would be more likely to do in the future, just because, as I get more comfortable with, if I ever stop doing studies that are totally different, take more time than they should, because I insist on doing something else. I don't know. // So I find it a good time to preregister is when you’ve collected the data, but you haven't analyzed it yet. So you like, kind of have a sense of like what your age group is, and how many kids, I work with kids. How many kids you've already recruited to participate. So, like you haven't done any of like the data cleaning or the data processing or the analyses. So you still have really sound research questions, hypotheses, and methods. But you've already kind of collected the data. // But I think for me, I actually find it a huge advantage because it really gets you set up to get ready to go. // So I think I would be motivated by, if there is some sort of direct benefit to me of doing this, // So, if it were something that became an expectation within my department or college or university. // No, well the thing is, the thing is, what is the benefit? The benefit is that you get stuff published no matter what the outcomes are. I think that’s XXXX.  // I I can mention a benefit which is training students to think about design of the experiment in advance and to literature review to support their hypotheses. So I I use that as an opportunity to train my students how to write. // I think it's the existing template that is very handy for people who are new to preregistration and look for the kind of information necessary for a preregistered report.  // so something like, just realizing why it's so important, hopefully, might motivate me to to actually take the time and effort needed to do it. // Time? // And so just no more information of how to and which types of projects. I guess I haven't thought to do this at the time, because I thought some of the projects I'm doing, though it's just a quick little pilot thing or...so I guess more information on what can go in and how to how to do it. // Also go back to the point of thinking about the pay off of it. Right. If if pre registration was a surefire way to get feedback from either from peer reviewers or from, you know, maybe not formal peer review. Then I think I would see the value of doing it for more projects.But right. Given the trade off of of time versus obvious, payoff for some smaller projects or even larger projects. I think that something more concretely obvious to me, would be a facilitator, I guess. // And I think, knowing also what resources are already available at the universities where we work is, could be potentially helpful like X, mentioned the library having this training about self-archiving, I want to look up and see if my university has that and because I I feel like as junior people when we come to a university, often it feels overwhelming that we forget to look for the resources that they make available to us."
"77","1.4 - Inequality","1,2","F-PW","F-PW","Facilitator- Power","Participant expresses that a power dynamic may allow them to engage in an OS practice",1,"The main imaging group that I work with at [university] is really big, and I think they have the power to...I wouldn't say like overcome the IRB, but I think they have the power to request more lenient rules from them, then the rest of us do. And so then we're all able to kind of slide it under that, using their platform which is nice, especially for MRIs. De-identified MRIs."
"78","1.9 - Resources","1,2","F-R","F-R","Facillitator-Resources","Pariticpant expresses that having non-institutional resources helps them engage in OS practices",1,"And then resources like CSDisseminate"
"79","","N","F-RV","F-RV","Facilitator - Reviews","Participant expresses a facilitator for using OS practices (particularly PR) would be if it was a ""surefire"" way to get peer reviews.",1,"If if pre registration was a surefire way to get feedback from either from peer reviewers or from, you know, maybe not formal peer review."
"80","1.9 - Resources","1,2","F-R","F-S","Facilitator - students","Participant expresses that having students in the lab helps with being able to engage in OS practices (e.g. students being able to format a preprint for self-archiving)",2,"I found that I, still a student, is a really great resource to do all of those formatting things, and I've had a couple of students do that for me. Even undergraduate students are pretty good at working with word and that saves me a lot of time. // Student helpers."
"81","","N","F-SA","F-SA","Facilitator - Self Archiving","Facilitator for engaging in the self-archiving process",14,"If there is just a one place, I could go and look up the journal, and it would just say what their policy was that would help //  I mean the like. If there were a handout saying like, you know, I think I think someone just said this, but like the journal name, what I am allowed to do legally and just someone explain it to me, and just very easy to understand language that I can be sure I'm not breaking some copyright. // It would be nice if journals made that information, like every journal has their policy on it, and you can find it. // My previous institution had a very active librarian and a seamless, like, once a quarter we got a reminder email. Hey? Have you gotten any articles submitted or published? Would you like to archive them? And all I had to do was send them the title and the the journal, and they did all the contacting and figured out which draft needed to be...it was wonderful. // So for us, X, I'm sorry to hear that you can't access your own website. So now I'm really happy that I can. So my university does allow us to change our own, you know X affiliated website, and my research assistant can do it. So that's great. I think all universities should do that. // The the CSDisseminate workshop which I I went to, I think it was about 2 years ago, was extremely helpful in this, // because it directed, and I can't remember the names of the websites off the top of my head, but I do have them written down. So there's like websites where you can go to and search the journal and figure out for that journal which version of your manuscript you're legally allowed to share, and the rules kind of associated with that. But it's also, it's like in a couple of different places you have to go look. Not everything is all in the same spot. So it's not always just like a super streamlined process, but just knowing those resources, and where to look for that information was really really helpful. // Maybe if the journal just once it was accepted, if they just, you know, send you an additional email with the PDF saying, here is the one that you can, self-archive. That seems like it would save time, for a lot of people // so sometimes I just put collaborators’ NIH grants in my acknowledgments so that they'll yell at me so that I can put it on PubMed central. // I found that I, still a student, is a really great resource to do all of those formatting things, and I've had a couple of students do that for me. Even undergraduate students are pretty good at working with word and that saves me a lot of time. // Student helpers. And then resources like CSDisseminate, and our librarians. // The CSDisseminate resources for me were really big for this. I feel especially when you publish in similar journal, or the same journals, or whatever. I feel more and more confident that I'm doing it the right way to which helps a lot // And then also seeing that colleagues at similar stages in their career, looking at their websites and seeing how they did it and seeing that it doesn't actually look as scary as you think it is has been really helpful for me, and that I'm like I can do this, too. // One of the resources that CSDisseminates provides is a template for the blurb to include at the top of the manuscript, and I always just copy paste that in and I find that really helpful to have really concrete wording and placement in addition to right websites, to look up exactly how to do it. Depending on the journal that you're publishing in."
"82","1.3 - Study components","1,2","F-SD","F-SD","Facillitator - Study Design","Opposite of B-SD. Participant expresses how their study design may lend itsself to engaging in an OS practice. Like they're super familiar with their study desgin, which increases their comfort with preregistering their study",1,"Ok, I was just gonna say I think I often do is I keep doing studies that are quite different from ones I've done previously, which is, I suppose, good on some levels, but on an another, I think if I was doing a study that was very similar with similar methods. Similar population. You know, and I knew kind of I could kind of predict like, yes, I'll easily be able to get these participants, and so on. I think I'd be more likely if it was just really similar to something I'd done previously. I'd be more likely to be comfortable pre-registering something just kind of having walked through the analysis, having some knowledge of what you know that I've gotten through those barriers that would be concerning. And I I wonder if it's something I would be more likely to do in the future, just because, as I get more comfortable with, if I ever stop doing studies that are totally different, take more time than they should, because I insist on doing something else. I don't know."
"83","1.6 - Attitudes","1,2","F-B","F-SE","Facilitator- Supportive Evidence","Participant expresses that they believe having scientific data backing the benefit of using the OS would facilitate their engagement in the practice",2,"I think it would be really interesting to to being researchers to have data on how much of a difference it actually makes. I would be really interested to know that // I'll just bring in from our last question data that shows it's worth it would be a facilitator."
"84","1.9 - Resources","1,2","F-R","F-T","Facilitator - Time","Participant says having more time would help facilitate their use of OS practices",1,"Time?"
"85","1.7 - Training/Knowledge","1,2","F-TE","F-TE","Facilitator - Training Experience","Discussing how training in OS practices would facilitate adoption of them",2,"what would facilitate it would be like training. I just need to learn what's allowed. I need to learn what you can say,  // The the CSDisseminate workshop which I I went to, I think it was about 2 years ago, was extremely helpful in this,"
"86","1.7 - Training/Knowledge","1,2","F-KOP","F-W","Facilitator - Where","Participant expresses that knowing where to post data, etc would help them engage in OS practices",1,"I know a lot of grant applications these days do require you to have some kind of data management policy, particularly with the focus on open data and data sharing. So I think just a better maybe understanding of what the...you know, what's required in terms of the the funders and grantors. And what what kind of data they want us to share, and where they'd like us to share it."
"87","1.2 - Working with others","1,2","F-CS","F-WG","Facilitator-Working Group","Participant expresses a preference for working with a group as a facilitator for engaging in OS practices",1,"I think maybe finding people at my university, too, that like finding the people that want to do open science or are doing it successfully, may be helpful, because every university is so different, just even website accessibility. Thankfully, I can do it. But I think just having people with you at your university could be helpful. So like finding that cohort. It's not always explicit or clear who does this so. Or who is working towards it. So."
"88","","N","I-OS","I-OD","Intention - Open Data","Expressing a desire to share data openly in the future",2,"I know that that's not as good as like sharing the data publicly, and that's gonna be something I hope to do in the future. // And then also trying to work language into the IRB to be more open with data going forward as a goal."
"89","","N","I-OS","I-OS","Intention - Open Science","Expressing a desire to use an OS practice in the future",1,"So, this is what I did now. Can't wait to do more in the future, hopefully, even better."
"90","","N","I-OS","I-PR","Intention - Preregistration","Participant intends to preregister a study in the future",1,"But I intend to."
"91","1.4 - Inequality","1,2","IE-OA","IE-OA","Inequitable - Open Access","Participant expresses that the process of open access is inequitable for researchers",5," maybe this is just me being idealistic, but you know we already don't get any financial kickback from publishing, and so I feel like the cost associated with publishing open access is pretty inequitable. We, I mean, at my university unfortunately, like we are, we we don't get paid like a very high salary and trying to bridge that research to practice gap through open access, then basically punishing us by making us pay for something when we already don't get any monetary gain from publishing it. Personally, it makes no sense to me, so I don't see like, if the idea is open access, then why do we have to pay still for open access? That seems like it doesn't accomplish the spirit of open access science. // So just add to that, I would also say, I also think it kind of defeats the purpose of open access, and that it's supposed to be for everyone and make this, I would think, a more like transparent and diversified research environment where it, when it's paid for it, kind of limits who can participate in that. And what type of research is even getting published on it. // Certainly the cost. I think that's the obvious answer, but especially the cost for junior investigators who might not have big you know, externally funded grants as we're building our program of research. And so some of the some of the smaller internal and external grants that are awarded early in your career just simply don't have the the budget to support that line item. // which is a huge barrier for those of us who are all early in our career, because it's like, don't know how much I have laying around. That's, you know, $12,000 for 4 papers. So that's the other fun experience I've had. // I think it's ethically ambiguous, actually like, I think it encourages a lot of big labs to get a lot more views than little labs. And I think it's also I mean, we already sell our figures and our text to publishers period. So now we're paying them to do it. So I think it's ethically very odd. So I kind of try not to. And I try to just pre-print, because I'm uncomfortable with the current ethics of it."
"92","1.6 - Attitudes","N","Imp-OS","Imp-OS","Importance of Open Science","Stating that they think OS is important",1,"I know that open science is important"
"93","4.3 - Quality of Research","4","IOS-A","IOS-A","Impact of OS - Increased Accessibility","Participant expresses that os may make research more accessible",6,"I have only heard positive responses from people who have downloaded them and had access to the manuscripts. // And I do agree with the statement I see here is that it increases the accessibility, transfer, and replicability of science. // I think open science practice also increase the impact of our research, and to make it accessible to clinicians and the community. // like I I I get that, you know, tangentially, yes, it's better for everything to be accessible to everyone. // We have a very large research practice gap in our fields. And I think I'm under the impression, at least for my students, that they don't know that they can access AJSLP or JSLHR with their as a membership. They think they still have to like pay for individual articles. So removing that step for clinicians would be very important, I would think in improving that gap. // That's a really good point. I had an undergrad student who found an article by another faculty member in our department that she paid $40 to read, not realizing that she had other options so like having things open, having it clear that these things can be accessed."
"94","4.2 - Impact on Others","4","IOS-CB","IOS-CB","Impact of OS - Consumer Benefits","Participant expresses that being a consumer of OS practices (downloading someones code or stimuli) has been very beneficial to their research practices.",5,"Yeah, I've definitely looked at other people's code and taken pieces of code. // And so...but it is nice to to see how it's helped me, and so hopefully, that will be something I can use in the future. // But yeah. I agree also with X that I've benefited from other people posting their things online. // being a consumer specifically of code, has been really, really useful for me. // Being a consumer is something that I've done particularly with stimuli for experiments."
"95","4.1 - Career","4","IOS-D","IOS-D","Impact of OS - Doubt/doubtful","Participant expresses doubt of the impact of OS, seems wary of if OS would have a positive effect",2,"I don't know. I actually actually wonder what effect does it have if other people publish something using your data set that they got through open science. What is the impact of it?<P>And I I don't know. I really don't know. Is it is going to positively affect your tenure evaluation, or is it just a publication for somebody else who mentions you in the acknowledgments? I have no idea. // But I just wonder how many more people would my article actually reach if it were gold open access versus if I am just, you know, telling everybody, hey, I'll email it to you if you email me."
"96","4.2 - Impact on Others","4","IOS-IC","IOS-IC","Impact of OS - Impact on Community","Participant expresses that OS practices has a positive impact on stakeholders in the community, such as more support for the research (e.g., participants)",2," I think there's potential impacts with like participants and the communities that we're working with like. If your work is more readily accessible to the people who are directly affected by it, then that influences their perception of you, which influences their willingness to support your future research. // I think open science practice also increase the impact of our research, and to make it accessible to clinicians and the community."
"97","4.2 - Impact on Others","4","IOS-LF","IOS-LF","Impact of OS - Legitimize Field","Participant describes how using OS practices might legitimize our field and increase recognition of CSD as a scientific field",1," But some sometimes I feel like communication sciences and disorders were sort of like, I don't know it would legitimize us, I guess. A little bit too like in the field of science, like you know what I mean I sometimes it feels like we're a little slower to jump on these on this stuff like here's where science is headed, and here's where we are, and you know, so I think if we were part of that like it would make people recognize this field as a scientific field of study"
"98","4.4 - Improving the Research Process","4","IOS-LS","IOS-LS","Impact of OS - Larger Sample","Participant discusses that having more accessible data can increase sample size that you are working with which in turn increases the study power (esp. if used to working with small n)",7,"On the research side, it would make, you know, meta analyses easier to do, which maybe help us kind of answer some of those questions that are harder to answer with, like the smaller n. And once you've combined a lot of studies together maybe we can start getting your clearer answers to some of the questions that would help clinicians. // I think this point about especially for clinical research about you know it. People looking at like a small n like X was saying, you know, and and being able to see that across studies, and seeing, oh, this is a consistent finding, especially like clinical finding. // Also, just to add that you know, in our field we tend to have fairly small N studies just because of accessibility of research participants. And so you know the more that we share things openly, particularly data in that sense, it's easier to combine results from different studies to to sort of answer, maybe different questions than we could answer individually in our little, you know, silos. // So many of the study, you see, is very small simple size. So I'm wondering if there is open data everywhere, so someone can put them together. Maybe create like a larger data, a database, so that I can maybe help answer some of the questions I can't answer. I think there's something there. Sometimes I will frustrated. I can only get like 10 people for my study, and everyone's doing such things. So which may be okay, if some scenario but I don't for science. But so maybe that's not the best way to do this. So I think that will be very beneficial from that perspective. // And then I'm really interested in in open data. I mean, I think a lot of us in our field deal with small ns. And so how to to use data from other researchers to help bolster our numbers. // I think there's a lot of benefit to making raw data openly accessible in our field to back to X’s point earlier, about a lot of us have small n's and more access we have to larger data sets, we can, you know, we can ask bigger questions and make broader generalizations. And be more targeted in our research questions. And I think that's a hugely important direction for our field to take. But it. It requires our ability to access other other data sets in order to leverage that power. // Yeah. And I think that would facilitate the research to practice pipeline as well, because so many of our small n studies we’re like, yeah, but this is limited to this, you know, tiny subset of the population where, as if you could pull from from multiple data sets, it would be easier to generalize your findings to clinic."
"99","4.4 - Improving the Research Process","4","IOS-MA","IOS-MA","Impact of OS - Meta-Analysis","Meta analyses are easier to conduct with easier access to data/research",1,"On the research side, it would make, you know, meta analyses easier to do, which maybe help us kind of answer some of those questions that are harder to answer with, like the smaller n. And once you've combined a lot of studies together maybe we can start getting your clearer answers to some of the questions that would help clinicians."
"100","4.3 - Quality of Research","4","IOS-RA","IOS-RA","Impact of OS - Researcher Accountability","Participant expresses that OS practices would help increase the researcher's accountability (e.g., comments made during OPR or researcher holding themselves more accountable due to engaging in OS practice)",2,"I was listening to the discussion of, like the the open reviews, I love the idea of transparency, especially like for for making people accountable for some of the the harmful and abusive and uninformed things that they say. // It seems like adding these extra steps of making what you do available to other people could improve the rigor of your own work. I mean it. It would make me think more about what I'm doing before I post this for people to see which I think is a good thing. Maybe makes us a little bit more accountable. I mean to ourselves even just right? By having, knowing that people are going to look at this."
"101","4.3 - Quality of Research","4","IOS-RB","IOS-RB","Impact of OS - Reduce Bias","Participant beleives OS has the potential to reduce bias in research (e.g., make everyones research accessible, not just the research from well funded labs, which have historically been white male led)",1,"Yeah. And ideally less bias, too. Right? It's not just research coming from these huge well-funded labs, all of which tend to, I mean in the past, in CSD been funded by white males who've been in the in the field for a very long time. So I think it would be nice to just reduce the bias related to that and actually make the evidence wide reaching."
"102","4.2 - Impact on Others","4","IOS-RPG","IOS-RPG","Impact of OS - Research to Practice Gap","Closing the RPG using OS",6,"Reduce the research-to-practice gap! Get it out there faster. // And I think that also helps again reduce that research-to-practice gap because the students are are practicing with real real cases. // I would hope it would also facilitate research getting to practice more quickly as clinicians could locate things without cost to themselves. // We have a very large research practice gap in our fields. And I think I'm under the impression, at least for my students, that they don't know that they can access AJSLP or JSLHR with their as a membership. They think they still have to like pay for individual articles. So removing that step for clinicians would be very important, I would think in improving that gap. // Having protocols available that can be implemented in clinical practice. All of these things would. I mean, presumably, lead to more research and more direct translation from the Academy to the clinic. // Yeah. And I think that would facilitate the research to practice pipeline as well, because so many of our small n studies we’re like, yeah, but this is limited to this, you know, tiny subset of the population where, as if you could pull from from multiple data sets, it would be easier to generalize your findings to clinic."
"103","4.3 - Quality of Research","4","IOS-RR","IOS-RR","Impact of OS - Research Replication","Participant expresses that replication of research is an impact of OS.",4,"Replication from different labs to see if the things are actually working, or if it's a researcher influence. // And I do agree with the statement I see here is that it increases the accessibility, transfer, and replicability of science. // I guess it will facilitate a lot of replication studies. You can use the same stimuli, same protocol. Everything is available online. You can use it. Say, like a different population of same population that replicate those results // I think it'll make the research more reproducible as well, because, even though it takes time, if people are encouraged either through positive or negative reinforcement to to do this, then, you know, if their data is formatted in a certain way, and they know how it's formatted. Then probably that code is gonna be more reproducible because you really had to think about presenting it to another audience to look at and use."
"104","4.2 - Impact on Others","4","IOS-SIR","IOS-SIR","Impact of OS - Student interest in research","Participant expresses that using OS practices can increase student interest in research and the research process",1,"That's what I was going to say was getting students interested in and acclimated to research and showing them that it doesn't have to be this big scary process. I think data collection can feeI, I know for me, when I was a student researcher, that data collection was really overwhelming. As well as developing methodology. So, seeing what's out there, and seeing how I can tweak it to my interests, I think would have... I was really interested but I think it might have recruited more of my classmates into research."
"105","4.4 - Improving the Research Process","4","IOS-ST","IOS-ST","Impact of OS - Saves Time","Participants expresses that using an OS practice(s) saves time in the research process",1,"I was thinking about what you're talking about with time time, X, cause theoretically, this saves us time right, because, like you, you know, like you come up with what you're going to do, and you know."
"106","4.1 - Career","4","IOS-T","IOS-T","Impact of OS - Teaching","OS can have an impact on teaching (e.g., easier access to case studies)",6,"I've also been looking into open education resources. I teach phonetics, and I was like, oh, yeah, there's going to be tons of stuff out there, and the there is not as far...Yeah, right? So I guess I want to learn about finding resources and also about making resources. Like maybe about like networking with people and figuring out, wait like, how do we create that stuff so we can share? For our discipline. You know, for our classes. // I use some some researchers who have put their their research data on online as a teaching tool like for case studies. So you know, it gives me access to better better teaching cases. // I think we need like a repository of lectures and lecture activities and case studies for for, like our field’s teaching, sharing the teaching prep load would be very helpful, and giving me more time for for research, and make my teaching more effective. // Sharing assignments on canvas too would be really nice to be able to just have...I don't know, like this one canvas for CSD, where you can pull assignments into your course that are already, you know // Yeah, seeing some like more focus on this, I feel like, and I don't know if it's just because I'm new. But I feel like we are...I've noticed that, like people in this kind of generation are more likely to also share the teaching things like I've had several people just offer me materials, and I'm like, oh, my gosh, I can't. This is so wonderful, you know // I also use it in my teaching. So, getting, introducing all of the things that were just spoken to students, before they're clinicians."
